year;date;day;month;id_st;lat;lon;farm_ID;inf_presente;dis_sea;dem;cum_max30;cum_avg26;avg_max_7d;avg_min_7d;avg_avg_7d;cum_prec;s_day_frost;s_min_avg;s_mean_avg;s_prec_cum;w_day_frost;w_min_avg;w_mean_avg;w_prec_cum;idr_bal_4;idr_bal_30d;gdd_oli;cum_gdd;doy;perc_inf
2005;38595;31;8;3543;44.22763;10.06591;2858;inf;20256.06445;175.1501465;2.4956;0;22.1168;15.63307143;18.87493571;197.9014;11;5.850046739;9.893388587;303.0672;43;1.7415125;4.776105;326.7728;-89.17772328;23.99039344;1862.74835;979.4207955;243;32
2005;38595;31;8;3543;44.21933;10.13413;1448;inf;21429.00195;463.1273804;2.4956;0;22.1168;15.63307143;18.87493571;197.9014;11;5.850046739;9.893388587;303.0672;43;1.7415125;4.776105;326.7728;-89.17772328;23.99039344;1862.74835;979.4207955;243;32
2005;38595;31;8;3543;44.24279;10.08211;1232;inf;22255.48438;465.6856384;2.4956;0;22.1168;15.63307143;18.87493571;197.9014;11;5.850046739;9.893388587;303.0672;43;1.7415125;4.776105;326.7728;-89.17772328;23.99039344;1862.74835;979.4207955;243;32
2005;38589;25;8;3543;44.22763;10.06591;2858;inf;20256.06445;175.1501465;2.4956;0;21.59134286;15.0502;18.32077143;186.8353;11;5.850046739;9.893388587;303.0672;43;1.7415125;4.776105;326.7728;-82.37238638;0.981129114;1774.55275;915.1651955;237;32
2005;38589;25;8;3543;44.21933;10.13413;1448;inf;21429.00195;463.1273804;2.4956;0;21.59134286;15.0502;18.32077143;186.8353;11;5.850046739;9.893388587;303.0672;43;1.7415125;4.776105;326.7728;-82.37238638;0.981129114;1774.55275;915.1651955;237;32
2005;38589;25;8;3543;44.24279;10.08211;1232;inf;22255.48438;465.6856384;2.4956;0;21.59134286;15.0502;18.32077143;186.8353;11;5.850046739;9.893388587;303.0672;43;1.7415125;4.776105;326.7728;-82.37238638;0.981129114;1774.55275;915.1651955;237;32
2005;38582;18;8;3543;44.22763;10.06591;2858;inf;20256.06445;175.1501465;2.4956;0;22.55414286;15.83331429;19.19372857;145.6342;11;5.850046739;9.893388587;303.0672;43;1.7415125;4.776105;326.7728;-103.5925158;-45.55444802;1684.28955;852.8319955;230;32
2005;38582;18;8;3543;44.21933;10.13413;1448;inf;21429.00195;463.1273804;2.4956;0;22.55414286;15.83331429;19.19372857;145.6342;11;5.850046739;9.893388587;303.0672;43;1.7415125;4.776105;326.7728;-103.5925158;-45.55444802;1684.28955;852.8319955;230;32
2005;38582;18;8;3543;44.24279;10.08211;1232;inf;22255.48438;465.6856384;2.4956;0;22.55414286;15.83331429;19.19372857;145.6342;11;5.850046739;9.893388587;303.0672;43;1.7415125;4.776105;326.7728;-103.5925158;-45.55444802;1684.28955;852.8319955;230;32
2005;38575;11;8;3543;44.22763;10.06591;2858;inf;20256.06445;175.1501465;2.4956;0;23.96517143;15.43137143;19.69827143;134.5998;11;5.850046739;9.893388587;303.0672;43;1.7415125;4.776105;326.7728;-90.62166762;-94.46068563;1583.81165;780.2840955;223;32
